player_name,player_fifa_api_id,player_api_id,overall_rating,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year,height,weight,age
Marcelo Toscano,189996,148955,72,1,2,1,63,75,66,70,70,75,71,71,68,74,79,77,70,78,62,81,72,73,74,79,76,45,74,68,76,25,28,28,16,10,15,14,12,2012,182,183,27
Fabrizio Cacciatore,188334,22283,59,2,1,1,68,42,54,56,33,44,48,39,60,57,57,59,64,61,76,59,75,62,60,49,62,57,60,68,59,60,55,73,9,22,60,22,22,2009,182,187,22
Sebastian Coates,197655,165526,73,2,1,1,17,23,75,42,60,44,26,19,35,55,50,65,31,72,32,63,36,73,81,27,78,70,33,38,42,75,80,81,16,13,15,16,13,2015,195,187,25
Dario Del Fabro,211067,361946,69,2,1,1,25,23,68,49,34,42,22,21,49,56,68,68,62,56,64,58,78,58,70,40,72,68,22,32,36,74,74,74,3,3,3,3,3,2014,180,165,19
Jaime,189459,150754,53,1,1,1,47,26,35,53,43,61,62,38,29,59,71,72,76,55,55,36,55,39,37,24,26,12,13,61,22,22,22,18,8,22,29,22,22,2008,175,161,18
Leonardo Bertone,211437,320184,49,2,1,1,36,26,52,62,30,52,36,42,52,43,62,64,58,52,68,54,63,62,52,32,56,41,48,42,58,34,43,41,10,7,11,7,9,2012,177,159,18
Manu Lanzarote,159583,280920,66,1,2,1,69,59,45,53,47,71,77,63,55,72,66,71,68,67,69,58,52,70,58,54,70,27,66,65,72,32,30,26,7,13,7,6,7,2007,177,152,23
Chris Herd,183545,110947,67,2,1,2,58,52,68,63,40,63,53,38,70,68,74,74,73,66,75,73,90,62,72,60,84,67,48,56,59,67,67,65,12,10,15,16,15,2015,172,168,26
Francisco Farinos,162928,38475,74,2,1,1,71,58,53,84,60,67,81,72,83,76,65,64,68,75,72,77,57,64,73,68,66,70,66,84,78,60,73,65,13,12,9,10,15,2011,172,150,32
David Rodriguez,170569,102631,68,2,1,1,52,66,66,54,58,69,56,48,41,68,75,78,69,60,69,74,77,69,72,61,52,31,73,56,69,25,25,25,12,9,10,6,10,2014,177,159,27
Cristiano Ronaldo,20801,30893,92,2,2,0,83,92,86,82,85,90,88,79,72,95,91,94,93,90,75,94,94,89,79,93,63,24,89,81,85,22,31,23,7,11,15,14,11,2014,185,176,28
